sp_name,year,month,param_id,value
Traralgon,2016,10,O3,12917.0
Traralgon,2016,10,PM10,10059.400023026996
Traralgon,2016,10,SO2,495.0
Traralgon,2016,11,API,303.5199990330001
Traralgon,2016,11,BPM2.5,4409.800004101999
Traralgon,2016,11,CO,76.9000009099993
Traralgon,2016,11,NO2,1016.0
Traralgon,2016,11,O3,11291.0
Traralgon,2016,11,PM10,9914.100001887
Traralgon,2016,11,SO2,81.0
Traralgon,2016,12,API,340.6300000309998
Traralgon,2016,12,BPM2.5,5334.599992259002
Traralgon,2016,12,CO,81.00000102199985
Traralgon,2016,12,NO2,2483.0
Traralgon,2016,12,O3,3328.0
Traralgon,2016,12,PM10,11871.800015451003
Traralgon,2016,12,SO2,207.0
